Naturaleza de la finca;Provincias;Duración en años;Número e importe;Periodo;Total
Fincas de secano;03 Alicante/Alacant;Total;Importe de hipotecas;1996;32.791
Fincas de secano;03 Alicante/Alacant;Total;Importe de hipotecas;1995;41.536
Fincas de secano;03 Alicante/Alacant;Total;Importe de hipotecas;1994;39.637
Fincas de secano;03 Alicante/Alacant;Hasta 9 años;Número de hipotecas;2003;185
Fincas de secano;03 Alicante/Alacant;Hasta 9 años;Número de hipotecas;2002;161
Fincas de secano;03 Alicante/Alacant;Hasta 9 años;Número de hipotecas;2001;151
Fincas de secano;03 Alicante/Alacant;Hasta 9 años;Número de hipotecas;2000;147
Fincas de secano;03 Alicante/Alacant;Hasta 9 años;Número de hipotecas;1999;95
Fincas de secano;03 Alicante/Alacant;Hasta 9 años;Número de hipotecas;1998;151
Fincas de secano;03 Alicante/Alacant;Hasta 9 años;Número de hipotecas;1997;209
Fincas de secano;03 Alicante/Alacant;Hasta 9 años;Número de hipotecas;1996;165
Fincas de secano;03 Alicante/Alacant;Hasta 9 años;Número de hipotecas;1995;357
Fincas de secano;03 Alicante/Alacant;Hasta 9 años;Número de hipotecas;1994;347
Fincas de secano;03 Alicante/Alacant;Hasta 9 años;Importe de hipotecas;2003;68.522
Fincas de secano;03 Alicante/Alacant;Hasta 9 años;Importe de hipotecas;2002;49.225
Fincas de secano;03 Alicante/Alacant;Hasta 9 años;Importe de hipotecas;2001;29.545
Fincas de secano;03 Alicante/Alacant;Hasta 9 años;Importe de hipotecas;2000;17.393
Fincas de secano;03 Alicante/Alacant;Hasta 9 años;Importe de hipotecas;1999;8.084
Fincas de secano;03 Alicante/Alacant;Hasta 9 años;Importe de hipotecas;1998;13.547
Fincas de secano;03 Alicante/Alacant;Hasta 9 años;Importe de hipotecas;1997;11.395
Fincas de secano;03 Alicante/Alacant;Hasta 9 años;Importe de hipotecas;1996;11.569
Fincas de secano;03 Alicante/Alacant;Hasta 9 años;Importe de hipotecas;1995;22.177
Fincas de secano;03 Alicante/Alacant;Hasta 9 años;Importe de hipotecas;1994;18.673
Fincas de secano;03 Alicante/Alacant;De 10 a 15 años;Número de hipotecas;2003;311
Fincas de secano;03 Alicante/Alacant;De 10 a 15 años;Número de hipotecas;2002;382
Fincas de secano;03 Alicante/Alacant;De 10 a 15 años;Número de hipotecas;2001;313
Fincas de secano;03 Alicante/Alacant;De 10 a 15 años;Número de hipotecas;2000;366
Fincas de secano;03 Alicante/Alacant;De 10 a 15 años;Número de hipotecas;1999;421
Fincas de secano;03 Alicante/Alacant;De 10 a 15 años;Número de hipotecas;1998;355
Fincas de secano;03 Alicante/Alacant;De 10 a 15 años;Número de hipotecas;1997;392
Fincas de secano;03 Alicante/Alacant;De 10 a 15 años;Número de hipotecas;1996;388
Fincas de secano;03 Alicante/Alacant;De 10 a 15 años;Número de hipotecas;1995;416
Fincas de secano;03 Alicante/Alacant;De 10 a 15 años;Número de hipotecas;1994;566
Fincas de secano;03 Alicante/Alacant;De 10 a 15 años;Importe de hipotecas;2003;30.289
Fincas de secano;03 Alicante/Alacant;De 10 a 15 años;Importe de hipotecas;2002;34.243
Fincas de secano;03 Alicante/Alacant;De 10 a 15 años;Importe de hipotecas;2001;25.115
Fincas de secano;03 Alicante/Alacant;De 10 a 15 años;Importe de hipotecas;2000;24.756
Fincas de secano;03 Alicante/Alacant;De 10 a 15 años;Importe de hipotecas;1999;17.453
Fincas de secano;03 Alicante/Alacant;De 10 a 15 años;Importe de hipotecas;1998;17.135
Fincas de secano;03 Alicante/Alacant;De 10 a 15 años;Importe de hipotecas;1997;19.004
Fincas de secano;03 Alicante/Alacant;De 10 a 15 años;Importe de hipotecas;1996;17.207
Fincas de secano;03 Alicante/Alacant;De 10 a 15 años;Importe de hipotecas;1995;16.648
Fincas de secano;03 Alicante/Alacant;De 10 a 15 años;Importe de hipotecas;1994;18.451
Fincas de secano;03 Alicante/Alacant;Mayor de 15 años;Número de hipotecas;2003;287
Fincas de secano;03 Alicante/Alacant;Mayor de 15 años;Número de hipotecas;2002;291
Fincas de secano;03 Alicante/Alacant;Mayor de 15 años;Número de hipotecas;2001;173
Fincas de secano;03 Alicante/Alacant;Mayor de 15 años;Número de hipotecas;2000;180
Fincas de secano;03 Alicante/Alacant;Mayor de 15 años;Número de hipotecas;1999;152
Fincas de secano;03 Alicante/Alacant;Mayor de 15 años;Número de hipotecas;1998;108
Fincas de secano;03 Alicante/Alacant;Mayor de 15 años;Número de hipotecas;1997;63
Fincas de secano;03 Alicante/Alacant;Mayor de 15 años;Número de hipotecas;1996;71
Fincas de secano;03 Alicante/Alacant;Mayor de 15 años;Número de hipotecas;1995;99
Fincas de secano;03 Alicante/Alacant;Mayor de 15 años;Número de hipotecas;1994;21
Fincas de secano;03 Alicante/Alacant;Mayor de 15 años;Importe de hipotecas;2003;30.714
Fincas de secano;03 Alicante/Alacant;Mayor de 15 años;Importe de hipotecas;2002;30.915
Fincas de secano;03 Alicante/Alacant;Mayor de 15 años;Importe de hipotecas;2001;13.488
Fincas de secano;03 Alicante/Alacant;Mayor de 15 años;Importe de hipotecas;2000;15.079
Fincas de secano;03 Alicante/Alacant;Mayor de 15 años;Importe de hipotecas;1999;9.658
Fincas de secano;03 Alicante/Alacant;Mayor de 15 años;Importe de hipotecas;1998;6.581
Fincas de secano;03 Alicante/Alacant;Mayor de 15 años;Importe de hipotecas;1997;2.903
Fincas de secano;03 Alicante/Alacant;Mayor de 15 años;Importe de hipotecas;1996;3.931
Fincas de secano;03 Alicante/Alacant;Mayor de 15 años;Importe de hipotecas;1995;2.656
Fincas de secano;03 Alicante/Alacant;Mayor de 15 años;Importe de hipotecas;1994;2.067
Fincas de secano;03 Alicante/Alacant;No consta;Número de hipotecas;2003;1
Fincas de secano;03 Alicante/Alacant;No consta;Número de hipotecas;2002;2
Fincas de secano;03 Alicante/Alacant;No consta;Número de hipotecas;2001;2
Fincas de secano;03 Alicante/Alacant;No consta;Número de hipotecas;2000;1
Fincas de secano;03 Alicante/Alacant;No consta;Número de hipotecas;1999;4
Fincas de secano;03 Alicante/Alacant;No consta;Número de hipotecas;1998;""
Fincas de secano;03 Alicante/Alacant;No consta;Número de hipotecas;1997;6
Fincas de secano;03 Alicante/Alacant;No consta;Número de hipotecas;1996;2
Fincas de secano;03 Alicante/Alacant;No consta;Número de hipotecas;1995;3
Fincas de secano;03 Alicante/Alacant;No consta;Número de hipotecas;1994;4
Fincas de secano;03 Alicante/Alacant;No consta;Importe de hipotecas;2003;230
Fincas de secano;03 Alicante/Alacant;No consta;Importe de hipotecas;2002;150
Fincas de secano;03 Alicante/Alacant;No consta;Importe de hipotecas;2001;1.124
Fincas de secano;03 Alicante/Alacant;No consta;Importe de hipotecas;2000;144
Fincas de secano;03 Alicante/Alacant;No consta;Importe de hipotecas;1999;54
Fincas de secano;03 Alicante/Alacant;No consta;Importe de hipotecas;1998;""
Fincas de secano;03 Alicante/Alacant;No consta;Importe de hipotecas;1997;379
Fincas de secano;03 Alicante/Alacant;No consta;Importe de hipotecas;1996;84
Fincas de secano;03 Alicante/Alacant;No consta;Importe de hipotecas;1995;60
Fincas de secano;03 Alicante/Alacant;No consta;Importe de hipotecas;1994;445
Fincas de secano;04 Almería;Total;Número de hipotecas;2003;985
Fincas de secano;04 Almería;Total;Número de hipotecas;2002;779
Fincas de secano;04 Almería;Total;Número de hipotecas;2001;729
Fincas de secano;04 Almería;Total;Número de hipotecas;2000;721
Fincas de secano;04 Almería;Total;Número de hipotecas;1999;768
Fincas de secano;04 Almería;Total;Número de hipotecas;1998;322
Fincas de secano;04 Almería;Total;Número de hipotecas;1997;395
Fincas de secano;04 Almería;Total;Número de hipotecas;1996;220
Fincas de secano;04 Almería;Total;Número de hipotecas;1995;290
Fincas de secano;04 Almería;Total;Número de hipotecas;1994;422
Fincas de secano;04 Almería;Total;Importe de hipotecas;2003;121.576
Fincas de secano;04 Almería;Total;Importe de hipotecas;2002;97.451
Fincas de secano;04 Almería;Total;Importe de hipotecas;2001;90.826
Fincas de secano;04 Almería;Total;Importe de hipotecas;2000;81.497
Fincas de secano;04 Almería;Total;Importe de hipotecas;1999;61.201
Fincas de secano;04 Almería;Total;Importe de hipotecas;1998;15.674
Fincas de secano;04 Almería;Total;Importe de hipotecas;1997;18.078
Fincas de secano;04 Almería;Total;Importe de hipotecas;1996;16.101
Fincas de secano;04 Almería;Total;Importe de hipotecas;1995;14.094
Fincas de secano;04 Almería;Total;Importe de hipotecas;1994;22.033
Fincas de secano;04 Almería;Hasta 9 años;Número de hipotecas;2003;129
Fincas de secano;04 Almería;Hasta 9 años;Número de hipotecas;2002;76
Fincas de secano;04 Almería;Hasta 9 años;Número de hipotecas;2001;80
Fincas de secano;04 Almería;Hasta 9 años;Número de hipotecas;2000;63
Fincas de secano;04 Almería;Hasta 9 años;Número de hipotecas;1999;78
Fincas de secano;04 Almería;Hasta 9 años;Número de hipotecas;1998;22
Fincas de secano;04 Almería;Hasta 9 años;Número de hipotecas;1997;67
Fincas de secano;04 Almería;Hasta 9 años;Número de hipotecas;1996;64
Fincas de secano;04 Almería;Hasta 9 años;Número de hipotecas;1995;78
Fincas de secano;04 Almería;Hasta 9 años;Número de hipotecas;1994;139
Fincas de secano;04 Almería;Hasta 9 años;Importe de hipotecas;2003;43.221
Fincas de secano;04 Almería;Hasta 9 años;Importe de hipotecas;2002;20.048
Fincas de secano;04 Almería;Hasta 9 años;Importe de hipotecas;2001;16.261
Fincas de secano;04 Almería;Hasta 9 años;Importe de hipotecas;2000;7.639
Fincas de secano;04 Almería;Hasta 9 años;Importe de hipotecas;1999;5.956
Fincas de secano;04 Almería;Hasta 9 años;Importe de hipotecas;1998;1.334
Fincas de secano;04 Almería;Hasta 9 años;Importe de hipotecas;1997;1.821
Fincas de secano;04 Almería;Hasta 9 años;Importe de hipotecas;1996;6.725
Fincas de secano;04 Almería;Hasta 9 años;Importe de hipotecas;1995;3.354
Fincas de secano;04 Almería;Hasta 9 años;Importe de hipotecas;1994;8.570
Fincas de secano;04 Almería;De 10 a 15 años;Número de hipotecas;2003;794
Fincas de secano;04 Almería;De 10 a 15 años;Número de hipotecas;2002;638
Fincas de secano;04 Almería;De 10 a 15 años;Número de hipotecas;2001;620
Fincas de secano;04 Almería;De 10 a 15 años;Número de hipotecas;2000;615
Fincas de secano;04 Almería;De 10 a 15 años;Número de hipotecas;1999;637
Fincas de secano;04 Almería;De 10 a 15 años;Número de hipotecas;1998;215
Fincas de secano;04 Almería;De 10 a 15 años;Número de hipotecas;1997;281
Fincas de secano;04 Almería;De 10 a 15 años;Número de hipotecas;1996;141
Fincas de secano;04 Almería;De 10 a 15 años;Número de hipotecas;1995;190
Fincas de secano;04 Almería;De 10 a 15 años;Número de hipotecas;1994;277
Fincas de secano;04 Almería;De 10 a 15 años;Importe de hipotecas;2003;72.414
Fincas de secano;04 Almería;De 10 a 15 años;Importe de hipotecas;2002;69.573
Fincas de secano;04 Almería;De 10 a 15 años;Importe de hipotecas;2001;71.991
Fincas de secano;04 Almería;De 10 a 15 años;Importe de hipotecas;2000;71.286
