Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Régimen y estado;Periodo;Total
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2019;11.397
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2018;11.260
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2017;9.143
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2016;8.630
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2015;7.756
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2014;6.681
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2013;5.886
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2012;6.592
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2011;7.323
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2010;9.447
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2009;9.333
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2008;14.236
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2007;19.144
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2021;2.365
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2020;1.680
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2019;2.264
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2018;2.180
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2017;1.732
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2016;1.687
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2015;1.320
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2014;1.096
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2013;1.273
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2012;1.449
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2011;1.819
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2010;2.050
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2009;2.141
